Source Node,Link,Destination Node,Source Type
nasturtium,helps,cucumber,flowers
pansy,helps,allium,flowers
pansy,helps,onion,flowers
pansy,helps,rose,flowers
petunia,helps,cucurbit,flowers
petunia,helps,squash,flowers
petunia,helps,pumpkin,flowers
petunia,helps,cucumber,flowers
petunia,helps,asparagus,flowers
phacelia,helps,lettuce,flowers
phacelia,helps,tomato,flowers
phacelia,helps,rose,flowers
sunflower,helps,pepper,flowers
sunflower,helps,corn,flowers
sunflower,helps,cucumber,flowers
sunflower,helps,soybean,flowers
sunflower,helps,tomato,flowers
sunflower,helps,swan plant,flowers
swan plant,helps,sunflower,flowers
sweet pea,helps,sweet alyssum,flowers
sweet pea,helps,lobelia,flowers
sweet pea,helps,rose,flowers
sweet pea,helps,lavender,flowers
sweet pea,helps,catmint,flowers
tansy,helps,bean,flowers
tansy,helps,brassicas,flowers
tansy,helps,cucurbit,flowers
tansy,helps,cucumber,flowers
tansy,helps,squash,flowers
tansy,helps,raspberries,flowers
tansy,helps,relatives,flowers
tansy,helps,rose,flowers
tansy,helps,corn,flowers
tansy,helps,fruit tree,flowers
zinnia,helps,bean,flowers
zinnia,helps,tomato,flowers
zinnia,helps,pepper,flowers
artichoke,helps,kale cabbage,vegetables
artichoke,helped_by,kale cabbage,vegetables
allium,helped_by,carrot,vegetables
allium,helped_by,tomato,vegetables
allium,helped_by,carrot,vegetables
allium,helped_by,marigolds,vegetables
allium,helped_by,mints,vegetables
asparagus,helped_by,dill,vegetables
asparagus,helped_by,corier,vegetables
asparagus,helped_by,tomato,vegetables
asparagus,helped_by,parsley,vegetables
asparagus,helped_by,basil,vegetables
asparagus,helped_by,comfrey,vegetables
asparagus,helped_by,marigolds,vegetables
asparagus,helped_by,nasturtiums,vegetables
bean,helped_by,celery,vegetables
bean,helped_by,strawberry,vegetables
bean,helped_by,grains,vegetables
"bean, pole",helped_by,radish,vegetables
"bean, pole",helped_by,corn,vegetables
"bean, fava",helped_by,strawberry,vegetables
"bean, fava",helped_by,celery,vegetables
beet,helped_by,onion,vegetables
beet,helped_by,kohlrabi,vegetables
beet,helped_by,catnip,vegetables
beet,helped_by,garlic,vegetables
beet,helped_by,lettuce,vegetables
beet,helped_by,brassicas,vegetables
beet,helped_by,mints,vegetables
brassicas,helped_by,beet,vegetables
brassicas,helped_by,spinach,vegetables
brassicas,helped_by,chards,vegetables
brassicas,helped_by,celery,vegetables
brassicas,helped_by,chamomille,vegetables
brassicas,helped_by,marigolds,vegetables
brassicas,helped_by,dill,vegetables
brassicas,helped_by,sage,vegetables
brassicas,helped_by,peas,vegetables
brassicas,helped_by,peppermint,vegetables
brassicas,helped_by,spearmint,vegetables
brassicas,helped_by,spurrey,vegetables
brassicas,helped_by,rosemary,vegetables
brassicas,helped_by,rye-grass,vegetables
brassicas,helped_by,garlic,vegetables
brassicas,helped_by,onion,vegetables
brassicas,helped_by,potato,vegetables
brassicas,helped_by,geraniums,vegetables
brassicas,helped_by,allium,vegetables
brassicas,helped_by,nasturtiums,vegetables
brassicas,helped_by,borage,vegetables
brassicas,helped_by,hyssop,vegetables
brassicas,helped_by,tansy,vegetables
brassicas,helped_by,tomato,vegetables
brassicas,helped_by,thyme,vegetables
brassicas,helped_by,wormwood,vegetables
brassicas,helped_by,southernwood,vegetables
brassicas,helped_by,bean,vegetables
brassicas,helped_by,clover,vegetables
broccoli,helped_by,mustard,vegetables
broccoli,helped_by,rabe,vegetables
broccoli,helped_by,beet,vegetables
broccoli,helped_by,dill,vegetables
broccoli,helped_by,lettuce,vegetables
broccoli,helped_by,mustard,vegetables
broccoli,helped_by,onion,vegetables
broccoli,helped_by,tomato,vegetables
broccoli,helped_by,turnips,vegetables
broccoli,helped_by,clover,vegetables
brussels sprouts,helped_by,sage,vegetables
brussels sprouts,helped_by,thyme,vegetables
brussels sprouts,helped_by,clover,vegetables
cabbage,helped_by,bean,vegetables
cabbage,helped_by,clover,vegetables
cabbage,helped_by,calendula,vegetables
cabbage,helped_by,chamomille,vegetables
cabbage,helped_by,larkspur,vegetables
cabbage,helped_by,nasturtiums,vegetables
cabbage,helped_by,dill,vegetables
cabbage,helped_by,corier,vegetables
cabbage,helped_by,hyssop,vegetables
cabbage,helped_by,onion,vegetables
cabbage,helped_by,beet,vegetables
cabbage,helped_by,marigolds,vegetables
cabbage,helped_by,mints,vegetables
cabbage,helped_by,rosemary,vegetables
cabbage,helped_by,sage,vegetables
cabbage,helped_by,thyme,vegetables
cabbage,helped_by,tomato,vegetables
carrot,helped_by,lettuce,vegetables
carrot,helped_by,allium,vegetables
carrot,helped_by,chives,vegetables
carrot,helped_by,leeks,vegetables
carrot,helped_by,onion,vegetables
carrot,helped_by,shallots,vegetables
carrot,helped_by,rosemary,vegetables
carrot,helped_by,wormwood,vegetables
carrot,helped_by,sage,vegetables
carrot,helped_by,bean,vegetables
carrot,helped_by,flax,vegetables
cauliflower,helped_by,marigolds,vegetables
cauliflower,helped_by,rape,vegetables
cauliflower,helped_by,sunflower,vegetables
cauliflower,helped_by,spinach,vegetables
cauliflower,helped_by,peas,vegetables
celery,helped_by,cosmos,vegetables
celery,helped_by,daisies,vegetables
celery,helped_by,snapdragons,vegetables
celery,helped_by,leeks,vegetables
celery,helped_by,tomato,vegetables
celery,helped_by,cauliflower,vegetables
celery,helped_by,cabbage,vegetables
corn,helped_by,sunflower,vegetables
corn,helped_by,dill,vegetables
corn,helped_by,legumes,vegetables
corn,helped_by,bean,vegetables
corn,helped_by,peas,vegetables
corn,helped_by,peanuts,vegetables
corn,helped_by,cucurbit,vegetables
corn,helped_by,clover,vegetables
corn,helped_by,amaranth,vegetables
corn,helped_by,pigweed,vegetables
corn,helped_by,parsley,vegetables
corn,helped_by,potato,vegetables
corn,helped_by,melon,vegetables
maize,helped_by,sunflower,vegetables
maize,helped_by,dill,vegetables
maize,helped_by,legumes,vegetables
maize,helped_by,bean,vegetables
maize,helped_by,peas,vegetables
maize,helped_by,peanuts,vegetables
maize,helped_by,cucurbit,vegetables
maize,helped_by,clover,vegetables
maize,helped_by,amaranth,vegetables
maize,helped_by,pigweed,vegetables
maize,helped_by,parsley,vegetables
maize,helped_by,potato,vegetables
cucumber,helped_by,kohlrabi,vegetables
cucumber,helped_by,nasturtiums,vegetables
cucumber,helped_by,radish,vegetables
cucumber,helped_by,marigolds,vegetables
cucumber,helped_by,sunflower,vegetables
cucumber,helped_by,peas,vegetables
cucumber,helped_by,bean,vegetables
cucumber,helped_by,chamomille,vegetables
cucumber,helped_by,beet,vegetables
cucumber,helped_by,carrot,vegetables
cucumber,helped_by,dill,vegetables
cucumber,helped_by,onion,vegetables
cucumber,helped_by,garlic,vegetables
cucumber,helped_by,amaranth,vegetables
cucumber,helped_by,celery,vegetables
cucurbit,helped_by,corn,vegetables
eggplant,helped_by,marigolds,vegetables
eggplant,helped_by,catnip,vegetables
eggplant,helped_by,dill,vegetables
eggplant,helped_by,tarragon,vegetables
eggplant,helped_by,mints,vegetables
eggplant,helped_by,thyme,vegetables
aubergine,helped_by,marigolds,vegetables
aubergine,helped_by,catnip,vegetables
aubergine,helped_by,dill,vegetables
aubergine,helped_by,tarragon,vegetables
aubergine,helped_by,mints,vegetables
aubergine,helped_by,thyme,vegetables
kohlrabi,helped_by,beet,vegetables
kohlrabi,helped_by,cucumber,vegetables
leek,helped_by,carrot,vegetables
leek,helped_by,clover,vegetables
legumes,helped_by,beet,vegetables
legumes,helped_by,cucumber,vegetables
legumes,helped_by,borage,vegetables
legumes,helped_by,cabbage,vegetables
legumes,helped_by,carrot,vegetables
legumes,helped_by,cauliflower,vegetables
legumes,helped_by,corn,vegetables
legumes,helped_by,larkspur,vegetables
legumes,helped_by,lovage,vegetables
legumes,helped_by,marigolds,vegetables
legumes,helped_by,mustard,vegetables
legumes,helped_by,radish,vegetables
legumes,helped_by,potato,vegetables
legumes,helped_by,peppermint,vegetables
legumes,helped_by,rosemary,vegetables
legumes,helped_by,lettuce,vegetables
legumes,helped_by,onion,vegetables
legumes,helped_by,squash,vegetables
lettuce,helped_by,radish,vegetables
lettuce,helped_by,beet,vegetables
lettuce,helped_by,dill,vegetables
lettuce,helped_by,kohlrabi,vegetables
lettuce,helped_by,onion,vegetables
lettuce,helped_by,bean,vegetables
lettuce,helped_by,carrot,vegetables
lettuce,helped_by,cucumber,vegetables
lettuce,helped_by,strawberry,vegetables
lettuce,helped_by,broccoli,vegetables
lettuce,helped_by,thyme,vegetables
lettuce,helped_by,nasturtiums,vegetables
lettuce,helped_by,alyssum,vegetables
lettuce,helped_by,sunflower,vegetables
lettuce,helped_by,cilantro,vegetables
nightshades,helped_by,carrot,vegetables
nightshades,helped_by,allium,vegetables
nightshades,helped_by,mints,vegetables
nightshades,helped_by,basil,vegetables
nightshades,helped_by,oregano,vegetables
okra,helped_by,bean,vegetables
okra,helped_by,lettuce,vegetables
okra,helped_by,squash,vegetables
okra,helped_by,pepper,vegetables
onion,helped_by,carrot,vegetables
onion,helped_by,beet,vegetables
onion,helped_by,brassicas,vegetables
onion,helped_by,dill,vegetables
onion,helped_by,lettuce,vegetables
onion,helped_by,strawberry,vegetables
onion,helped_by,marigolds,vegetables
onion,helped_by,mints,vegetables
onion,helped_by,tomato,vegetables
onion,helped_by,chamomille,vegetables
onion,helped_by,pansy,vegetables
peas,helped_by,turnips,vegetables
peas,helped_by,cauliflower,vegetables
peas,helped_by,garlic,vegetables
peas,helped_by,mints,vegetables
pepper,helped_by,bean,vegetables
pepper,helped_by,tomato,vegetables
pepper,helped_by,marjoram,vegetables
pepper,helped_by,okra,vegetables
pepper,helped_by,geraniums,vegetables
pepper,helped_by,petunias,vegetables
pepper,helped_by,sunflower,vegetables
pepper,helped_by,onion,vegetables
pepper,helped_by,basil,vegetables
potato,helped_by,horseradish,vegetables
potato,helped_by,bean,vegetables
potato,helped_by,marigolds,vegetables
potato,helped_by,peas,vegetables
potato,helped_by,onion,vegetables
potato,helped_by,garlic,vegetables
potato,helped_by,thyme,vegetables
potato,helped_by,clover,vegetables
pumpkin,helped_by,buckwheat,vegetables
pumpkin,helped_by,catnip,vegetables
pumpkin,helped_by,oregano,vegetables
pumpkin,helped_by,tansy,vegetables
pumpkin,helped_by,radish,vegetables
pumpkin,helped_by,nasturtiums,vegetables
radish,helped_by,chervil,vegetables
radish,helped_by,lettuce,vegetables
radish,helped_by,nasturtiums,vegetables
soybean,helped_by,corn,vegetables
soybean,helped_by,sunflower,vegetables
spinach,helped_by,strawberry,vegetables
spinach,helped_by,peas,vegetables
spinach,helped_by,bean,vegetables
spinach,helped_by,cauliflower,vegetables
squash,helped_by,bean,vegetables
squash,helped_by,buckwheat,vegetables
squash,helped_by,borage,vegetables
squash,helped_by,catnip,vegetables
squash,helped_by,tansy,vegetables
squash,helped_by,radish,vegetables
squash,helped_by,marigolds,vegetables
squash,helped_by,nasturtiums,vegetables
sweet potato,helped_by,okra,vegetables
tomato,helped_by,asparagus,vegetables
tomato,helped_by,basil,vegetables
tomato,helped_by,bean,vegetables
tomato,helped_by,oregano,vegetables
tomato,helped_by,parsley,vegetables
tomato,helped_by,marigolds,vegetables
tomato,helped_by,allium,vegetables
tomato,helped_by,garlic,vegetables
tomato,helped_by,leeks,vegetables
tomato,helped_by,celery,vegetables
tomato,helped_by,geraniums,vegetables
tomato,helped_by,petunias,vegetables
tomato,helped_by,nasturtiums,vegetables
tomato,helped_by,borage,vegetables
tomato,helped_by,corier,vegetables
tomato,helped_by,chives,vegetables
tomato,helped_by,corn,vegetables
tomato,helped_by,dill,vegetables
tomato,helped_by,mustard,vegetables
tomato,helped_by,fenugreek,vegetables
tomato,helped_by,barley,vegetables
tomato,helped_by,carrot,vegetables
tomato,helped_by,eggplant,vegetables
tomato,helped_by,mints,vegetables
tomato,helped_by,okra,vegetables
tomato,helped_by,sage,vegetables
tomato,helped_by,thyme,vegetables
tomato,helped_by,cucumber,vegetables
tomato,helped_by,squash,vegetables
turnips,helped_by,peas,vegetables
rutabagas,helped_by,peas,vegetables
apple,helped_by,clover,fruits
apple,helped_by,chives,fruits
apple,helped_by,garlic,fruits
apple,helped_by,leeks,fruits
apple,helped_by,nasturtiums,fruits
apple,helped_by,southernwood,fruits
apple,helped_by,daffodils,fruits
apple,helped_by,comfrey,fruits
blueberries,helped_by,strawberry,fruits
blueberries,helped_by,clover,fruits
blueberries,helped_by,dewberries,fruits
blueberries,helped_by,yarrow,fruits
fruit tree,helped_by,allium,fruits
fruit tree,helped_by,tansy,fruits
fruit tree,helped_by,nasturtiums,fruits
fruit tree,helped_by,marigolds,fruits
fruit tree,helped_by,marjoram,fruits
fruit tree,helped_by,mustard,fruits
fruit tree,helped_by,delions,fruits
fruit tree,helped_by,borage,fruits
grapes,helped_by,hyssop,fruits
grapes,helped_by,alyssum,fruits
grapes,helped_by,basil,fruits
grapes,helped_by,bean,fruits
grapes,helped_by,chives,fruits
grapes,helped_by,geraniums,fruits
grapes,helped_by,mustard,fruits
grapes,helped_by,oregano,fruits
grapes,helped_by,clover,fruits
grapes,helped_by,peas,fruits
grapes,helped_by,blackberries,fruits
melon,helped_by,chamomille,fruits
melon,helped_by,pigweed,fruits
passion fruit,helped_by,potato,fruits
passion fruit,helped_by,beet,fruits
passion fruit,helped_by,carrot,fruits
passion fruit,helped_by,spinach,fruits
passion fruit,helped_by,strawberry,fruits
passion fruit,helped_by,onion,fruits
passion fruit,helped_by,leeks,fruits
passion fruit,helped_by,lettuce,fruits
strawberry,helped_by,caraway,fruits
strawberry,helped_by,lupin,fruits
strawberry,helped_by,onion,fruits
strawberry,helped_by,sage,fruits
strawberry,helped_by,thyme,fruits
strawberry,helped_by,borage,fruits
anise,helped_by,corier,herbs
basil,helped_by,chamomille,herbs
basil,helped_by,anise,herbs
chives,helped_by,carrot,herbs
cilantro,helped_by,bean,herbs
cilantro,helped_by,peas,herbs
coriander,helped_by,bean,herbs
coriander,helped_by,peas,herbs
dill,helped_by,fennel,herbs
fennel,helped_by,dill,herbs
garlic,helped_by,tarragon,herbs
garlic,helped_by,peas,herbs
oregano,helped_by,basil,herbs
parsley,helped_by,apples,herbs
parsley,helped_by,asparagus,herbs
parsley,helped_by,rose,herbs
lupin,helped_by,rose,flowers
marigold,helped_by,rose,flowers
pansy,helped_by,rose,flowers
rose,helped_by,chives,flowers
rose,helped_by,garlic,flowers
rose,helped_by,marigolds,flowers
swan plant,helped_by,sunflower,flowers
swan plant,helped_by,basil,flowers
sweet pea,helped_by,brassicas,flowers
sweet pea,helped_by,spinach,flowers
